listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
48900848,,35.42485,-82.46244,Entire cottage,Entire home/apt,,1,2,2,0,f,,,60,t
48901952,,35.644,-82.50993,Entire guest suite,Entire home/apt,,,4,3,1,f,,,45,f
48903100,,35.5638,-82.50634,Entire cottage,Entire home/apt,,2,2,1,1,t,,,43.75,t
48921421,,35.63465,-82.58866,Entire residential home,Entire home/apt,,4,4,3,1,t,,,46.875,t
48931640,,35.44097,-82.52107,Camper/RV,Entire home/apt,,1,2,2,1,t,,,32.75,t
48932966,,35.5721,-82.59114,Entire guest suite,Entire home/apt,,,1,2,0,f,,,50,f
48933619,,35.6044,-82.55625,Entire residential home,Entire home/apt,,4,4,2,8,t,,,107,t
48939557,,35.58974,-82.55145,Entire condominium,Entire home/apt,,2,3,1,60,f,,,68.16666667,t
48968008,,35.58361,-82.65558,Entire residential home,Entire home/apt,,2,3,3,1,t,,,49.5,t
48968341,,35.57553,-82.64619,Entire residential home,Entire home/apt,,1,0,3,1,t,,,30.75,t
48969877,,35.54973,-82.65103,Entire rental unit,Entire home/apt,,2,2,3,4,f,,,33.75,t
48971919,,35.593204,-82.549927,Entire condominium (condo),Entire home/apt,,1,2,2,0,f,,,55.5,t
48972465,,35.62524,-82.64042,Entire residential home,Entire home/apt,,2,3,2,0,t,,,29.16666667,t
48974282,,35.55291,-82.505,Entire residential home,Entire home/apt,,3,6,1,3,t,,,26.41666667,t
48974582,,35.57534,-82.59712,Entire guest suite,Entire home/apt,,1,1,2,0,t,,,68,t
49015217,,35.55464,-82.66603,Entire rental unit,Entire home/apt,,1,1,2,0,f,,,37.5,f
49022475,,35.60904,-82.63382,Entire residential home,Entire home/apt,,6,8,3,5,t,,,81.1875,t
49034616,,35.57749,-82.63867,Tiny house,Entire home/apt,,1,1,1,7,t,,,33,f
49037064,,35.61626,-82.48714,Entire cabin,Entire home/apt,,3,4,2,2,t,,,49.33333333,t
49040875,,35.57515,-82.58597,Private room in residential home,Private room,,1,1,30,0,t,,,37.5,t
